species,category,pattern_type,status,arrival,peak,departure,spring_arrival,spring_peak,spring_departure,fall_arrival,fall_peak,fall_departure,winter_arrival,winter_peak,winter_departure,first_appears,last_appears
Ruby-throated Hummingbird,single-season,summer,,May 8-14,September 1-7,September 22-30,,,,,,,,,,,
Rufous Hummingbird,vagrant,irregular,irregular,,November 22-30,,,,,,,,,,,November 1-7,December 1-7
King Rail,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,May 1-7,May 1-7
Virginia Rail,single-season,summer,,April 8-14,April 22-30,June 8-14,,,,,,,,,,,
Sora,two-passage-migrant,two-passage,,,,,April 15-21,April 22-30,May 22-31,,September 1-7,August 22-31,,,,,
Common Gallinule,two-passage-migrant,two-passage,,,,,April 22-30,June 1-7,June 1-7,September 1-7,September 1-7,September 8-14,,,,,
American Coot,single-season,winter,,,,,,,,,,,October 1-7,March 22-31,April 22-30,,
Yellow Rail,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,May 1-7,May 8-14
Limpkin,vagrant,irregular,irregular,,October 22-31,,,,,,,,,,,October 22-31,October 22-31
Sandhill Crane,single-season,summer,,February 15-21,March 15-21,December 15-21,,,,,,,,,,,
Whooping Crane,single-season,summer,,July 1-7,July 1-7,August 8-14,,,,,,,,,,,
Black-necked Stilt,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,May 8-14
American Avocet,vagrant,irregular,irregular,,July 8-14,,,,,,,,,,,June 22-30,November 1-7
Black-bellied Plover,single-season,summer,,August 15-21,September 8-14,September 8-14,,,,,,,,,,,
American Golden-Plover,single-season,summer,,August 22-31,September 8-14,September 15-21,,,,,,,,,,,
Killdeer,single-season,summer,,March 1-7,August 8-14,November 1-7,,,,,,,,,,,
Semipalmated Plover,two-passage-migrant,two-passage,,,,,May 8-14,May 15-21,May 22-31,July 22-31,August 1-7,August 15-21,,,,,
Upland Sandpiper,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,April 22-30,August 1-7
Hudsonian Whimbrel,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,,
Hudsonian Godwit,vagrant,irregular,irregular,,October 22-31,,,,,,,,,,,October 15-21,November 1-7
Marbled Godwit,vagrant,irregular,irregular,,August 15-21,,,,,,,,,,,May 1-7,September 8-14
Short-billed Dowitcher,single-season,summer,,July 8-14,July 8-14,August 8-14,,,,,,,,,,,
Long-billed Dowitcher,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 22-30,October 8-14
American Woodcock,single-season,summer,,March 1-7,March 15-21,May 15-21,,,,,,,,,,,
Wilson's Snipe,two-passage-migrant,two-passage,,,,,March 22-31,April 15-21,May 1-7,September 8-14,November 1-7,November 8-14,,,,,
Wilson's Phalarope,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,April 22-30,November 22-30
Red Phalarope,vagrant,irregular,irregular,,October 1-7,,,,,,,,,,,October 1-7,October 1-7
Red-necked Phalarope,vagrant,irregular,irregular,,June 1-7,,,,,,,,,,,June 1-7,September 1-7
Spotted Sandpiper,single-season,summer,,April 22-30,August 8-14,September 1-7,,,,,,,,,,,
Solitary Sandpiper,two-passage-migrant,two-passage,,,,,April 22-30,May 1-7,May 8-14,July 8-14,August 8-14,September 15-21,,,,,
Lesser Yellowlegs,two-passage-migrant,two-passage,,,,,April 15-21,April 22-30,May 1-7,July 8-14,August 15-21,September 22-30,,,,,
Willet,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 22-30,May 15-21
Spotted Redshank,vagrant,irregular,irregular,,November 1-7,,,,,,,,,,,November 1-7,November 1-7
Greater Yellowlegs,two-passage-migrant,two-passage,,,,,April 15-21,April 22-30,April 22-30,July 22-31,November 1-7,November 1-7,,,,,
Ruddy Turnstone,vagrant,irregular,irregular,,June 1-7,,,,,,,,,,,June 1-7,June 8-14
Ruff,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,,
Stilt Sandpiper,single-season,summer,,July 22-31,August 22-31,September 15-21,,,,,,,,,,,
Buff-breasted Sandpiper,vagrant,irregular,irregular,,September 1-7,,,,,,,,,,,August 15-21,September 8-14
Sanderling,vagrant,irregular,irregular,,September 8-14,,,,,,,,,,,August 1-7,September 8-14
Dunlin,two-passage-migrant,two-passage,,,,,May 15-21,May 15-21,May 15-21,October 15-21,November 1-7,November 1-7,,,,,
Baird's Sandpiper,vagrant,irregular,irregular,,August 15-21,,,,,,,,,,,August 15-21,September 15-21
White-rumped Sandpiper,two-passage-migrant,two-passage,,,,,June 1-7,June 1-7,June 1-7,September 8-14,September 8-14,September 15-21,,,,,
Least Sandpiper,two-passage-migrant,two-passage,,,,,May 15-21,May 15-21,May 15-21,July 8-14,August 8-14,September 1-7,,,,,
Pectoral Sandpiper,two-passage-migrant,two-passage,,,,,April 15-21,April 22-30,April 22-30,July 22-31,November 1-7,November 1-7,,,,,
Western Sandpiper,vagrant,irregular,irregular,,September 15-21,,,,,,,,,,,,
Semipalmated Sandpiper,two-passage-migrant,two-passage,,,,,May 15-21,June 1-7,June 1-7,July 22-31,July 22-31,September 8-14,,,,,
Sabine's Gull,vagrant,irregular,irregular,,November 1-7,,,,,,,,,,,,
Bonaparte's Gull,two-passage-migrant,two-passage,,,,,March 15-21,April 15-21,April 22-30,October 15-21,November 1-7,December 8-14,,,,,
Laughing Gull,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,May 1-7,May 1-7
Franklin's Gull,vagrant,irregular,irregular,,November 15-21,,,,,,,,,,,November 15-21,November 15-21
Ring-billed Gull,single-season,winter,,,,,,,,,,,July 15-21,November 1-7,April 15-21,,
American Herring Gull,single-season,winter,,,,,,,,,,,October 15-21,December 8-14,April 1-7,,
Great Black-backed Gull,single-season,winter,,,,,,,,,,,December 8-14,December 8-14,January 15-21,,
American Herring x Great Black-backed Gull (hybrid),vagrant,irregular,irregular,,December 1-7,,,,,,,,,,,December 1-7,December 1-7
Glaucous Gull,single-season,winter,,,,,,,,,,,December 1-7,December 8-14,,,
American Herring x Glaucous Gull (hybrid),vagrant,irregular,irregular,,December 1-7,,,,,,,,,,,,
Lesser Black-backed Gull,two-passage-migrant,two-passage,,,,,,March 22-31,March 15-21,December 1-7,December 8-14,December 8-14,,,,,
American Herring x Lesser Black-backed Gull (hybrid),vagrant,irregular,irregular,,December 1-7,,,,,,,,,,,,
Slaty-backed Gull,vagrant,irregular,irregular,,November 22-30,,,,,,,,,,,,
Iceland Gull,single-season,winter,,,,,,,,,,,December 1-7,December 1-7,,,
Caspian Tern,two-passage-migrant,two-passage,,,,,April 15-21,April 15-21,April 15-21,July 8-14,August 8-14,September 15-21,,,,,
Black Tern,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,April 22-30,September 1-7
Forster's Tern,two-passage-migrant,two-passage,,,,,April 15-21,April 15-21,April 15-21,August 1-7,August 1-7,August 8-14,,,,,
Common Tern,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,May 8-14,November 8-14
Pied-billed Grebe,two-passage-migrant,two-passage,,,,,March 1-7,April 1-7,April 22-30,September 22-30,October 22-31,November 22-30,,,,,
Horned Grebe,two-passage-migrant,two-passage,,,,,February 22-28,March 22-31,April 15-21,November 1-7,November 8-14,November 8-14,,,,,
Red-necked Grebe,two-passage-migrant,two-passage,,,,,March 8-14,April 1-7,April 1-7,December 1-7,December 1-7,December 1-7,,,,,
Eared Grebe,vagrant,irregular,irregular,,May 1-7,,,,,,,,,,,,
Red-throated Loon,vagrant,irregular,irregular,,March 22-31,,,,,,,,,,,March 15-21,December 1-7
Pacific Loon,vagrant,irregular,irregular,,December 1-7,,,,,,,,,,,November 22-30,December 22-31
Common Loon,two-passage-migrant,two-passage,,,,,March 15-21,April 1-7,April 15-21,,November 22-30,November 15-21,,,,,
Anhinga,vagrant,irregular,irregular,,May 8-14,,,,,,,,,,,,
Double-crested Cormorant,single-season,summer,,April 8-14,September 8-14,November 1-7,,,,,,,,,,,
White-faced Ibis,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,,
Roseate Spoonbill,vagrant,irregular,irregular,,July 15-21,,,,,,,,,,,July 15-21,July 22-31
American Bittern,vagrant,irregular,irregular,,April 22-30,,,,,,,,,,,April 22-30,October 8-14
Least Bittern,single-season,summer,,June 15-21,June 15-21,June 15-21,,,,,,,,,,,
Yellow-crowned Night Heron,two-passage-migrant,two-passage,,,,,June 15-21,June 15-21,June 22-30,October 1-7,October 1-7,October 1-7,,,,,
Black-crowned Night Heron,single-season,summer,,July 1-7,August 8-14,September 22-30,,,,,,,,,,,
Little Blue Heron,vagrant,irregular,irregular,,August 8-14,,,,,,,,,,,May 15-21,August 8-14
Snowy Egret,single-season,summer,,August 8-14,August 8-14,September 1-7,,,,,,,,,,,
Green Heron,single-season,summer,,May 1-7,July 15-21,September 22-30,,,,,,,,,,,
Western Cattle-Egret,vagrant,irregular,irregular,,October 22-31,,,,,,,,,,,April 15-21,November 15-21
Great Egret,single-season,summer,,July 8-14,August 8-14,October 15-21,,,,,,,,,,,
Great Blue Heron,resident,year-round,year-round,,,,,,,,,,,,,,
American White Pelican,single-season,summer,,June 15-21,June 15-21,July 15-21,,,,,,,,,,,
Black Vulture,single-season,summer,,October 1-7,October 1-7,October 1-7,,,,,,,,,,,
Turkey Vulture,single-season,summer,,March 8-14,April 8-14,November 1-7,,,,,,,,,,,
Osprey,single-season,summer,,April 1-7,August 8-14,October 1-7,,,,,,,,,,,
Swallow-tailed Kite,vagrant,irregular,irregular,,October 1-7,,,,,,,,,,,October 1-7,October 1-7
Golden Eagle,single-season,summer,,November 1-7,November 8-14,November 8-14,,,,,,,,,,,
Sharp-shinned Hawk,single-season,winter,,,,,,,,,,,September 8-14,October 8-14,April 22-30,,
Cooper's Hawk,resident,year-round,year-round,,,,,,,,,,,,,,
American Goshawk,vagrant,irregular,irregular,,February 22-28,,,,,,,,,,,February 22-28,December 15-21
Northern Harrier,single-season,winter,,,,,,,,,,,October 8-14,January 15-21,March 1-7,,
Bald Eagle,resident,year-round,year-round,,,,,,,,,,,,,,
Mississippi Kite,vagrant,irregular,irregular,,June 15-21,,,,,,,,,,,June 15-21,June 22-30
Broad-winged Hawk,single-season,summer,,April 15-21,September 15-21,September 22-30,,,,,,,,,,,
Red-shouldered Hawk,single-season,winter,,,,,,,,,,,September 15-21,November 8-14,May 8-14,,
Swainson's Hawk,vagrant,irregular,irregular,,September 22-30,,,,,,,,,,,,
Red-tailed Hawk,resident,year-round,year-round,,,,,,,,,,,,,,
Rough-legged Hawk,single-season,winter,,,,,,,,,,,November 8-14,January 15-21,February 22-28,,
American Barn Owl,vagrant,irregular,irregular,,April 1-7,,,,,,,,,,,April 1-7,July 15-21
Eastern Screech-Owl,two-passage-migrant,two-passage,,,,,,May 8-14,May 1-7,August 1-7,September 15-21,September 15-21,,,,,
Snowy Owl,single-season,winter,,,,,,,,,,,December 8-14,December 8-14,,,
Great Horned Owl,resident,year-round,year-round,,,,,,,,,,,,,,
Barred Owl,single-season,summer,,April 8-14,June 1-7,June 8-14,,,,,,,,,,,
Long-eared Owl,vagrant,irregular,irregular,,January 15-21,,,,,,,,,,,January 15-21,October 15-21
Short-eared Owl,single-season,winter,,,,,,,,,,,October 22-31,January 15-21,March 1-7,,
Northern Saw-whet Owl,vagrant,irregular,irregular,,October 22-31,,,,,,,,,,,January 1-7,December 22-31
Belted Kingfisher,resident,year-round,year-round,,,,,,,,,,,,,,
Yellow-bellied Sapsucker,two-passage-migrant,two-passage,,,,,April 1-7,April 8-14,April 22-30,September 22-30,October 1-7,October 8-14,,,,,
Red-headed Woodpecker,resident,year-round,year-round,,,,,,,,,,,,,,
Red-bellied Woodpecker,resident,year-round,year-round,,,,,,,,,,,,,,
Downy Woodpecker,resident,year-round,year-round,,,,,,,,,,,,,,
Hairy Woodpecker,resident,year-round,year-round,,,,,,,,,,,,,,
Pileated Woodpecker,resident,year-round,year-round,,,,,,,,,,,,,,
Northern Flicker,resident,year-round,year-round,,,,,,,,,,,,,,
American Kestrel,resident,year-round,year-round,,,,,,,,,,,,,,
Merlin,single-season,winter,,,,,,,,,,,August 22-31,January 22-31,March 8-14,,
Gyrfalcon,vagrant,irregular,irregular,,November 15-21,,,,,,,,,,,November 15-21,November 15-21
Peregrine Falcon,two-passage-migrant,two-passage,irregular,,January 8-14,,,,,,,,,,,January 1-7,December 22-31
Budgerigar,vagrant,irregular,irregular,,August 22-31,,,,,,,,,,,August 22-31,August 22-31
Olive-sided Flycatcher,two-passage-migrant,two-passage,,,,,,May 22-31,May 15-21,August 15-21,August 22-31,September 15-21,,,,,
Eastern Wood-Pewee,single-season,summer,,May 15-21,May 22-31,September 22-30,,,,,,,,,,,
Yellow-bellied Flycatcher,two-passage-migrant,two-passage,,,,,May 15-21,May 22-31,May 22-31,August 15-21,September 1-7,September 15-21,,,,,
Acadian Flycatcher,single-season,summer,,May 15-21,June 1-7,July 22-31,,,,,,,,,,,
Alder Flycatcher,single-season,summer,,May 15-21,May 22-31,June 8-14,,,,,,,,,,,
Willow Flycatcher,single-season,summer,,May 15-21,June 1-7,July 22-31,,,,,,,,,,,
Least Flycatcher,two-passage-migrant,two-passage,,,,,May 1-7,May 15-21,May 22-31,August 22-31,September 1-7,September 8-14,,,,,
Eastern Phoebe,single-season,summer,,March 22-31,April 1-7,October 15-21,,,,,,,,,,,
Great Crested Flycatcher,single-season,summer,,May 1-7,May 15-21,July 15-21,,,,,,,,,,,
Western Kingbird,vagrant,irregular,irregular,,September 1-7,,,,,,,,,,,September 1-7,September 1-7
Eastern Kingbird,single-season,summer,,May 1-7,July 22-31,August 22-31,,,,,,,,,,,
White-eyed Vireo,two-passage-migrant,two-passage,,,,,May 1-7,May 1-7,May 22-31,July 1-7,July 15-21,July 15-21,,,,,
Yellow-throated Vireo,single-season,summer,,May 1-7,May 15-21,September 15-21,,,,,,,,,,,
Blue-headed Vireo,two-passage-migrant,two-passage,,,,,April 22-30,May 1-7,May 15-21,September 15-21,September 22-30,October 8-14,,,,,
Philadelphia Vireo,two-passage-migrant,two-passage,,,,,May 15-21,May 15-21,May 15-21,September 1-7,September 8-14,September 22-30,,,,,
Eastern Warbling Vireo,single-season,summer,,May 1-7,May 15-21,September 8-14,,,,,,,,,,,
Red-eyed Vireo,single-season,summer,,May 8-14,May 22-31,September 15-21,,,,,,,,,,,
Loggerhead Shrike,vagrant,irregular,irregular,,April 15-21,,,,,,,,,,,April 15-21,June 8-14
Northern Shrike,single-season,winter,,,,,,,,,,,October 22-31,January 1-7,March 1-7,,
Blue Jay,resident,year-round,year-round,,,,,,,,,,,,,,
American Crow,resident,year-round,year-round,,,,,,,,,,,,,,
Black-capped Chickadee,resident,year-round,year-round,,,,,,,,,,,,,,
Boreal Chickadee,vagrant,irregular,irregular,,January 1-7,,,,,,,,,,,January 1-7,January 15-21
Tufted Titmouse,resident,year-round,year-round,,,,,,,,,,,,,,
Horned Lark,single-season,winter,,,,,,,,,,,October 1-7,January 22-31,June 1-7,,
Bank Swallow,single-season,summer,,April 22-30,May 15-21,August 15-21,,,,,,,,,,,
Tree Swallow,single-season,summer,,March 22-31,May 1-7,August 15-21,,,,,,,,,,,
Purple Martin,single-season,summer,,May 8-14,July 22-31,August 22-31,,,,,,,,,,,
Northern Rough-winged Swallow,single-season,summer,,April 8-14,May 1-7,August 22-31,,,,,,,,,,,
Barn Swallow,single-season,summer,,April 15-21,August 1-7,September 1-7,,,,,,,,,,,
Cliff Swallow,single-season,summer,,April 22-30,July 22-31,August 22-31,,,,,,,,,,,
Ruby-crowned Kinglet,two-passage-migrant,two-passage,,,,,April 8-14,April 22-30,May 8-14,September 22-30,October 8-14,October 22-31,,,,,
Golden-crowned Kinglet,two-passage-migrant,two-passage,,,,,March 22-31,April 8-14,April 15-21,October 1-7,October 8-14,November 8-14,,,,,
White-breasted Nuthatch,resident,year-round,year-round,,,,,,,,,,,,,,
Red-breasted Nuthatch,single-season,winter,,,,,,,,,,,September 1-7,November 15-21,April 15-21,,
Brown Creeper,single-season,winter,,,,,,,,,,,September 22-30,April 8-14,April 22-30,,
Blue-gray Gnatcatcher,single-season,summer,,April 15-21,May 1-7,September 1-7,,,,,,,,,,,
Northern House Wren,single-season,summer,,April 22-30,May 8-14,September 22-30,,,,,,,,,,,
Winter Wren,single-season,winter,,,,,,,,,,,September 22-30,April 8-14,April 22-30,,
Sedge Wren,single-season,summer,,May 15-21,May 22-31,August 1-7,,,,,,,,,,,
Marsh Wren,two-passage-migrant,two-passage,,,,,May 1-7,June 15-21,August 1-7,September 8-14,October 1-7,October 1-7,,,,,
Carolina Wren,resident,year-round,year-round,,,,,,,,,,,,,,
Bewick's Wren,vagrant,irregular,irregular,,May 22-31,,,,,,,,,,,May 22-31,May 22-31
European Starling,resident,year-round,year-round,,,,,,,,,,,,,,
Gray Catbird,single-season,summer,,May 1-7,May 15-21,October 1-7,,,,,,,,,,,
Brown Thrasher,two-passage-migrant,two-passage,,,,,April 8-14,April 22-30,July 8-14,September 8-14,September 22-30,September 22-30,,,,,
Sage Thrasher,vagrant,irregular,irregular,,November 8-14,,,,,,,,,,,November 8-14,November 8-14
Northern Mockingbird,irregular,irregular,irregular,,June 1-7,,,,,,,,,,,January 1-7,December 22-31
Eastern Bluebird,resident,year-round,year-round,,,,,,,,,,,,,,
Townsend's Solitaire,vagrant,irregular,irregular,,December 22-31,,,,,,,,,,,January 1-7,December 22-31
Varied Thrush,vagrant,irregular,irregular,,January 8-14,,,,,,,,,,,January 8-14,January 15-21
Veery,two-passage-migrant,two-passage,,,,,May 1-7,May 15-21,July 8-14,,September 1-7,August 22-31,,,,,
Gray-cheeked Thrush,two-passage-migrant,two-passage,,,,,May 1-7,May 15-21,May 15-21,September 8-14,September 15-21,October 1-7,,,,,
Swainson's Thrush,two-passage-migrant,two-passage,,,,,May 8-14,May 15-21,May 22-31,September 1-7,September 8-14,October 1-7,,,,,
Hermit Thrush,two-passage-migrant,two-passage,,,,,April 1-7,April 22-30,May 1-7,October 1-7,October 8-14,October 22-31,,,,,
Wood Thrush,two-passage-migrant,two-passage,,,,,May 1-7,May 15-21,July 15-21,,September 8-14,September 1-7,,,,,
American Robin,resident,year-round,year-round,,,,,,,,,,,,,,
Bohemian Waxwing,vagrant,irregular,irregular,,February 22-28,,,,,,,,,,,February 22-28,February 22-28
Cedar Waxwing,single-season,summer,,May 15-21,August 22-31,November 1-7,,,,,,,,,,,
House Sparrow,resident,year-round,year-round,,,,,,,,,,,,,,
American Pipit,two-passage-migrant,two-passage,,,,,May 1-7,May 1-7,May 8-14,October 1-7,October 8-14,November 8-14,,,,,
Evening Grosbeak,single-season,summer,,October 22-31,October 22-31,November 8-14,,,,,,,,,,,
Pine Grosbeak,vagrant,irregular,irregular,,December 15-21,,,,,,,,,,,December 15-21,December 15-21
House Finch,resident,year-round,year-round,,,,,,,,,,,,,,
Purple Finch,two-passage-migrant,two-passage,irregular,,October 8-14,,,,,,,,,,,January 1-7,December 22-31
Redpoll,single-season,winter,,,,,,,,,,,November 15-21,January 15-21,March 8-14,,
Red Crossbill,single-season,summer,,November 1-7,November 1-7,November 22-30,,,,,,,,,,,
White-winged Crossbill,single-season,summer,,November 1-7,November 1-7,November 15-21,,,,,,,,,,,
European Goldfinch,vagrant,irregular,irregular,,February 8-14,,,,,,,,,,,February 8-14,February 8-14
Pine Siskin,single-season,winter,,,,,,,,,,,October 8-14,November 22-30,May 1-7,,
American Goldfinch,resident,year-round,year-round,,,,,,,,,,,,,,
Lapland Longspur,single-season,winter,,,,,,,,,,,November 15-21,January 22-31,March 8-14,,
Snow Bunting,single-season,winter,,,,,,,,,,,December 22-31,January 15-21,February 15-21,,
Grasshopper Sparrow,single-season,summer,,May 15-21,June 8-14,July 22-31,,,,,,,,,,,
Chipping Sparrow,single-season,summer,,April 8-14,May 8-14,October 8-14,,,,,,,,,,,
Clay-colored Sparrow,single-season,summer,,May 15-21,May 22-31,July 8-14,,,,,,,,,,,
Field Sparrow,single-season,summer,,April 1-7,June 15-21,October 15-21,,,,,,,,,,,
Lark Sparrow,vagrant,irregular,irregular,,May 15-21,,,,,,,,,,,May 15-21,May 15-21
American Tree Sparrow,single-season,winter,,,,,,,,,,,November 1-7,January 15-21,April 8-14,,
Fox Sparrow,two-passage-migrant,two-passage,,,,,March 22-31,April 1-7,April 15-21,October 22-31,November 15-21,November 22-30,,,,,
Dark-eyed Junco,single-season,winter,,,,,,,,,,,October 8-14,November 15-21,April 15-21,,
White-crowned Sparrow,two-passage-migrant,two-passage,,,,,May 1-7,May 1-7,May 15-21,October 1-7,October 8-14,October 22-31,,,,,
Harris's Sparrow,vagrant,irregular,irregular,,March 1-7,,,,,,,,,,,February 22-28,May 1-7
White-throated Sparrow,single-season,winter,,,,,,,,,,,September 22-30,October 8-14,May 8-14,,
Dark-eyed Junco x White-throated Sparrow (hybrid),vagrant,irregular,irregular,,November 15-21,,,,,,,,,,,,
Vesper Sparrow,single-season,summer,,April 8-14,July 8-14,July 15-21,,,,,,,,,,,
LeConte's Sparrow,vagrant,irregular,irregular,,October 22-31,,,,,,,,,,,October 22-31,October 22-31
Nelson's Sparrow,vagrant,irregular,irregular,,October 15-21,,,,,,,,,,,October 1-7,October 22-31
Savannah Sparrow,two-passage-migrant,two-passage,,,,,April 8-14,June 1-7,July 22-31,,October 1-7,September 22-30,,,,,
Henslow's Sparrow,single-season,summer,,May 8-14,July 8-14,August 8-14,,,,,,,,,,,
